,lat,lon,date
3086,43.86686,4.03486,1524268800000
3088,48.6269,2.43012,1491177600000
3089,48.52821,6.32222,1586131200000
3093,46.07317,6.33036,1522627200000
3095,48.12188,2.91363,1555459200000
3096,45.908698,16.073549,1681948800000
3100,49.5288,6.14047,1681516800000
3102,51.456363,7.454055,1681430400000
3103,45.982957,3.680892,1682294400000
3104,48.105902,11.602879,1650153600000
3105,51.445882,7.333053,1684022400000
3106,51.148722,6.867664,1682812800000
3107,59.662103,10.993466,1686096000000
3108,48.190933,11.860288,1684454400000
3109,50.275822,8.530627,1684454400000
3110,50.277978,8.524895,1684454400000
3111,48.213902,16.291704,1682121600000
3112,49.717834,6.119541,1682812800000
3113,49.994881,7.965894,1650326400000
3114,59.726,17.64657,1651881600000
3115,49.217985,16.571842,1685318400000
3116,48.271525,10.076267,1685059200000
3117,46.616667,6.850003,1618617600000
3118,49.159917,32.277182,1682899200000
3119,54.355976,10.127838,1682726400000
3120,47.214795,0.062539,1682985600000
3121,50.661282,14.033723,1683158400000
3122,47.271451,11.385554,1681948800000
3123,53.601547,11.460531,1684368000000
3124,51.517813,7.278803,1683849600000
3125,49.792055,5.863899,1650067200000
3126,54.339482,10.127277,1682121600000
3127,49.432411,10.982073,1682035200000
3129,49.688603,6.465225,1680998400000
3130,51.754351,4.316282,1682812800000
3131,51.356829,12.173745,1681862400000
3132,48.792497,12.893388,1682812800000
3133,50.652664,6.773162,1650067200000
3134,46.821406,6.793973,1681430400000
3135,50.150739,8.77364,1682899200000
3136,48.649197,16.169621,1683417600000
3137,51.028809,3.142055,1681516800000
3138,48.556824,2.208394,1682380800000
3139,49.95794,5.922323,1682899200000
3140,48.19507,16.333908,1682035200000
3141,50.780015,6.046145,1682640000000
3142,48.554715,15.892017,1682812800000
3143,48.221099,16.378908,1682121600000
3144,51.707893,8.739343,1682985600000
3145,47.470395,18.939505,1680393600000
3146,47.07529,15.437347,1682121600000
3147,49.052456,8.844992,1682812800000
3148,49.897711,1.534732,1680998400000
3149,49.709655,0.197103,1682035200000
3150,50.760052,6.092325,1682899200000
3151,43.079113,25.579042,1651190400000
3152,48.108993,11.586096,1682121600000
3153,46.49034,30.736169,1680825600000
3154,51.335658,12.436753,1682812800000
3155,48.553917,15.891611,1683072000000
3156,49.203297,16.573258,1682640000000
